date,วัน,เดือน,ปี,รางวัลที่1,2ตัวบน,3ตัวบน,2ตัวล่าง,"3ตัวหน้า,3ตัวล่าง",3ตัวหน้า,3ตัวล่าง
2025-04-16,16,เมษายน,2568,266227,27,"['413', '474']",85,254 413 474 760,"['254', '413']","['413', '474']"
2025-04-01,1,เมษายน,2568,669687,87,"['760', '180']",36,635 760 180 666,"['635', '760']","['760', '180']"
2025-03-16,16,มีนาคม,2568,757563,63,"['927', '309']",32,595 927 309 457,"['595', '927']","['927', '309']"
2025-03-01,1,มีนาคม,2568,818894,94,"['530', '656']",54,139 530 656 781,"['139', '530']","['530', '656']"
2025-02-16,16,กุมภาพันธ์,2568,847377,77,"['613', '001']",50,268 613 001 652,"['268', '613']","['613', '001']"
2025-02-01,1,กุมภาพันธ์,2568,558700,00,"['418', '685']",51,285 418 685 824,"['285', '418']","['418', '685']"
2025-01-17,17,มกราคม,2568,807779,79,"['961', '448']",23,699 961 448 477,"['699', '961']","['961', '448']"
2025-01-02,2,มกราคม,2568,730209,09,"['446', '297']",51,065 446 297 376,"['065', '446']","['446', '297']"
2024-12-16,16,ธันวาคม,2567,097863,63,"['742', '339']",21,290 742 339 881,"['290', '742']","['742', '339']"
2024-12-01,1,ธันวาคม,2567,669843,43,"['626', '098']",61,559 626 098 654,"['559', '626']","['626', '098']"
2024-11-16,16,พฤศจิกายน,2567,187221,21,"['923', '547']",38,036 923 547 980,"['036', '923']","['923', '547']"
2024-11-01,1,พฤศจิกายน,2567,536044,44,"['225', '063']",32,174 225 063 231,"['174', '225']","['225', '063']"
2024-10-16,16,ตุลาคม,2567,482962,62,"['648', '493']",00,561 648 493 919,"['561', '648']","['648', '493']"
2024-10-01,1,ตุลาคม,2567,718665,65,"['812', '079']",59,053 812 079 566,"['053', '812']","['812', '079']"
2024-09-16,16,กันยายน,2567,608662,62,"['904', '008']",37,230 904 008 408,"['230', '904']","['904', '008']"
2024-09-01,1,กันยายน,2567,199606,06,"['220', '094']",94,173 220 094 388,"['173', '220']","['220', '094']"
2024-08-16,16,สิงหาคม,2567,095867,67,"['334', '697']",28,212 334 697 728,"['212', '334']","['334', '697']"
2024-08-01,1,สิงหาคม,2567,407041,41,"['579', '070']",46,408 579 070 622,"['408', '579']","['579', '070']"
2024-07-16,16,กรกฎาคม,2567,367336,36,"['331', '421']",21,011 331 421 618,"['011', '331']","['331', '421']"
2024-07-01,1,กรกฎาคม,2567,434503,03,"['975', '647']",89,839 975 647 778,"['839', '975']","['975', '647']"
2024-06-16,16,มิถุนายน,2567,518504,04,"['428', '426']",31,016 428 426 447,"['016', '428']","['428', '426']"
2024-06-01,1,มิถุนายน,2567,530593,93,"['364', '421']",42,194 364 421 734,"['194', '364']","['364', '421']"
2024-05-16,16,พฤษภาคม,2567,205690,90,"['885', '070']",60,747 885 070 137,"['747', '885']","['885', '070']"
2024-05-02,2,พฤษภาคม,2567,980116,16,"['763', '634']",17,104 763 634 833,"['104', '763']","['763', '634']"
2024-04-16,16,เมษายน,2567,943598,98,"['729', '154']",79,727 729 154 200,"['727', '729']","['729', '154']"
2024-04-01,1,เมษายน,2567,803481,81,"['809', '559']",90,122 809 559 947,"['122', '809']","['809', '559']"
2024-03-16,16,มีนาคม,2567,997626,26,"['571', '329']",78,509 571 329 794,"['509', '571']","['571', '329']"
2024-03-01,1,มีนาคม,2567,253603,03,"['975', '382']",79,900 975 382 703,"['900', '975']","['975', '382']"
